,Name,About,Category
41,fox,"All other species in Canini Foxes are small to medium-sized, omnivorous mammals belonging to several genera of the family Canidae. Foxes have a flattened skull, upright triangular ears, a pointed, slightly upturned snout, and a long bushy tail (or brush). Twelve species belong to the monophyletic ""true foxes"" group of genus Vulpes. Approximately another 25 current or extinct species are always or sometimes called foxes; these foxes are either part of the paraphyletic group of the South American foxes, or of the outlying group, which consists of the bat-eared fox, gray fox, and island fox.[1] Foxes live on every continent except Antarctica. By far the most common and widespread species of fox is the red fox (Vulpes vulpes) with about 47 recognized subspecies.[2] The global distribution of foxes, together with their widespread reputation for cunning, has contributed to their prominence in popular culture and folklore in many societies around the world. The hunting of foxes with packs of hounds, long an established pursuit in Europe, especially in the British Isles, was exported by European settlers to various parts of the New World. The word fox comes from Old English, which derived from Proto-Germanic *fuhsaz.[nb 1] This in turn derives from Proto-Indo-European *puḱ-, meaning ’thick-haired; tail’.[nb 2] Male foxes are known as dogs, tods or reynards, females as vixens, and young as cubs, pups, or kits, though the latter name is not to be confused with a distinct species called kit foxes. Vixen is one of very few words in modern English that retains the Middle English southern dialect ""v"" pronunciation instead of ""f"" (i.e. northern English ""fox"" versus southern English ""vox"").[3] A group of foxes is referred to as a skulk, leash, or earth.[4][5] Within the Canidae, the results of DNA analysis shows several phylogenetic divisions:",animal
42,pig,"A pig is any of the animals in the genus Sus, within the even-toed ungulate family Suidae. Pigs include domestic pigs and their ancestor, the common Eurasian wild boar (Sus scrofa), along with other species. Pigs, like all suids, are native to the Eurasian and African continents, ranging from Europe to the Pacific islands. Suids other than the pig are the babirusa of Indonesia, the pygmy hog of Asia, the warthog of Africa, and another genus of pigs from Africa. The suids are a sister clade to peccaries. Juvenile pigs are known as piglets.[1] Pigs are highly social and intelligent animals.[2] With around 1 billion individuals alive at any time, the domestic pig is among the most populous large mammals in the world.[3][4] Pigs are omnivores and can consume a wide range of food.[5] Pigs are biologically similar to humans and are thus frequently used for human medical research.[6] The Online Etymology Dictionary provides anecdotal evidence as well as linguistic, saying that the term derives probably from Old English *picg, found in compounds, ultimate origin unknown. Originally ""young pig"" (the word for adults was swine). Apparently related to Low German bigge, Dutch big (""but the phonology is difficult"" -- OED). ... Another Old English word for ""pig"" was fearh, related to furh ""furrow,"" from PIE *perk- ""dig, furrow"" (source also of Latin porc-us ""pig,"" see pork). ""This reflects a widespread IE tendency to name animals from typical attributes or activities"" [Roger Lass]. Synonyms grunter, oinker are from sailors' and fishermen's euphemistic avoidance of uttering the word pig at sea, a superstition perhaps based on the fate of the Gadarene swine, who drowned.[7]",animal
43,jaguar," The jaguar (Panthera onca) is a large felid species and the only extant member of the genus Panthera native to the Americas. The jaguar's present range extends from the southwestern United States and Mexico in North America, across much of Central America, and south to Paraguay and northern Argentina in South America. Though there are single cats now living within Arizona, the species has largely been extirpated from the United States since the early 20th century. It is listed as Near Threatened on the IUCN Red List; and its numbers are declining. Threats include loss and fragmentation of habitat. Overall, the jaguar is the largest native cat species of the New World and the third largest in the world. This spotted cat closely resembles the leopard, but is usually larger and sturdier. It ranges across a variety of forested and open terrains, but its preferred habitat is tropical and subtropical moist broadleaf forest, swamps and wooded regions. The jaguar enjoys swimming and is largely a solitary, opportunistic, stalk-and-ambush predator at the top of the food chain. As a keystone species it plays an important role in stabilizing ecosystems and regulating prey populations. While international trade in jaguars or their body parts is prohibited, the cat is still frequently killed, particularly in conflicts with ranchers and farmers in South America. Although reduced, its range remains large. Given its historical distribution, the jaguar has featured prominently in the mythology of numerous indigenous peoples of the Americas, including those of the Maya and Aztec civilizations. The word 'jaguar' is derived from 'iaguara', a word in one of the indigenous languages of Brazil for a wild spotted cat that is larger than a wolf.[2] Onca is derived from the Lusitanian name 'onça' for a spotted cat in Brazil that is larger than a lynx.[3] Indigenous peoples in Guyana call it 'jaguareté'.[4]",animal
44,squid,"Squid are cephalopods in the superorder Decapodiformes with elongated bodies, large eyes, eight arms and two tentacles. Like all other cephalopods, squid have a distinct head, bilateral symmetry, and a mantle. They are mainly soft-bodied, like octopuses, but have a small internal skeleton in the form of a rod-like gladius or pen, made of chitin. Squid diverged from other cephalopods during the Jurassic and occupy a similar role to teleost fish as open water predators of similar size and behaviour. They play an important role in the open water food web. The two long tentacles are used to grab prey and the eight arms to hold and control it. The beak then cuts the food into suitable size chunks for swallowing. Squid are rapid swimmers, moving by jet propulsion, and largely locate their prey by sight. They are among the most intelligent of invertebrates, with groups of Humboldt squid having been observed hunting cooperatively. They are preyed on by sharks, other fish, sea birds, seals and cetaceans, particularly sperm whales. Squid can change colour for camouflage and signalling. Some species are bioluminescent, using their light for counter-illumination camouflage, while many species can eject a cloud of ink to distract predators. Squid are used for human consumption with commercial fisheries in Japan, the Mediterranean, the southwestern Atlantic, the eastern Pacific and elsewhere. They are used in cuisines around the world, often known as ""calamari"". Squid have featured in literature since classical times, especially in tales of giant squid and sea monsters. Squid are members of the class Cephalopoda, subclass Coleoidea. The squid orders Myopsida and Oegopsida are in the superorder Decapodiformes (from the Greek for ""ten-legged""). Two other orders of decapodiform cephalopods are also called squid, although they are taxonomically distinct from squids and differ recognizably in their gross anatomical features. They are the bobtail squid of order Sepiolida and the ram's horn squid of the monotypic order Spirulida. The vampire squid (Vampyroteuthis infernalis), however, is more closely related to the octopuses than to any squid.[4]",animal
45,pinniped,"Pinnipeds, (pronounced /ˈpɪnɪˌpɛdz/) commonly known as seals,[a] are a widely distributed and diverse clade of carnivorous, fin-footed, semiaquatic marine mammals. They comprise the extant families Odobenidae (whose only living member is the walrus), Otariidae (the eared seals: sea lions and fur seals), and Phocidae (the earless seals, or true seals). There are 33 extant species of pinnipeds, and more than 50 extinct species have been described from fossils. While seals were historically thought to have descended from two ancestral lines, molecular evidence supports them as a monophyletic lineage (descended from one ancestral line). Pinnipeds belong to the order Carnivora and their closest living relatives are bears and the superfamily of musteloids (weasels, raccoons, skunks, and red pandas), having diverged about 50 million years ago. Seals range in size from the 1 m (3 ft 3 in) and 45 kg (99 lb) Baikal seal to the 5 m (16 ft) and 3,200 kg (7,100 lb) southern elephant seal male, which is also the largest member of the order Carnivora. Several species exhibit sexual dimorphism. They have streamlined bodies and four limbs that are modified into flippers. Though not as fast in the water as dolphins, seals are more flexible and agile. Otariids use their front limbs primarily to propel themselves through the water, while phocids and walruses use their hind limbs. Otariids and walruses have hind limbs that can be pulled under the body and used as legs on land. By comparison, terrestrial locomotion by phocids is more cumbersome. Otariids have visible external ears, while phocids and walruses lack these. Pinnipeds have well-developed senses—their eyesight and hearing are adapted for both air and water, and they have an advanced tactile system in their whiskers or vibrissae. Some species are well adapted for diving to great depths. They have a layer of fat, or blubber, under the skin to keep warm in the cold water, and, other than the walrus, all species are covered in fur. Although pinnipeds are widespread, most species prefer the colder waters of the Northern and Southern Hemispheres. They spend most of their lives in the water, but come ashore to mate, give birth, molt or escape from predators, such as sharks and killer whales. They feed largely on fish and marine invertebrates; a few, such as the leopard seal, feed on large vertebrates, such as penguins and other seals. Walruses are specialized for feeding on bottom-dwelling mollusks. Male pinnipeds typically mate with more than one female (polygyny), although the degree of polygyny varies with the species. The males of land-breeding species tend to mate with a greater number of females than those of ice breeding species. Male pinniped strategies for reproductive success vary between defending females, defending territories that attract females and performing ritual displays or lek mating. Pups are typically born in the spring and summer months and females bear almost all the responsibility for raising them. Mothers of some species fast and nurse their young for a relatively short period of time while others take foraging trips at sea between nursing bouts. Walruses are known to nurse their young while at sea. Seals produce a number of vocalizations, notably the barks of California sea lions, the gong-like calls of walruses and the complex songs of Weddell seals. The meat, blubber and fur coats of pinnipeds have traditionally been used by indigenous peoples of the Arctic. Seals have been depicted in various cultures worldwide. They are commonly kept in captivity and are even sometimes trained to perform tricks and tasks. Once relentlessly hunted by commercial industries for their products, seals and walruses are now protected by international law. The Japanese sea lion and the Caribbean monk seal have become extinct in the past century, while the Mediterranean monk seal and Hawaiian monk seal are ranked endangered by the International Union for Conservation of Nature. Besides hunting, pinnipeds also face threats from accidental trapping, marine pollution, and conflicts with local people. The name ""pinniped"" derives from the Latin words pinna ""fin"" and pes, pedis ""foot"".[2] The common name ""seal"" originates from the Old English word seolh, which is in turn dervied from the Proto-Germanic *selkhaz.[3]",animal
46,tortoise,"Tortoises (/ˈtɔːr.təs.ɪz/) are reptile species of the family Testudinidae of the order Testudines (the turtles). They are particularly distinguished from other turtles by being land-dwelling, while many (though not all) other turtle species are at least partly aquatic. Like other turtles, tortoises have a shell to protect from predation and other threats. The shell in tortoises is generally hard, and like other members of the suborder Cryptodira, they retract their necks and heads directly backwards into the shell to protect them. Tortoises are unique among vertebrates in that the pectoral and pelvic girdles are inside the ribcage rather than outside. Tortoises can vary in dimension from a few centimeters to two meters. They are usually diurnal animals with tendencies to be crepuscular depending on the ambient temperatures. They are generally reclusive animals. Tortoises are the longest-living land animals in the world, although the longest-living species of tortoise is a matter of debate. Galápagos tortoises are noted to live over 150 years, but an Aldabra giant tortoise named Adwaita may have lived an estimated 255 years. In general, most tortoise species can live 80–150 years. Differences exist in usage of the common terms turtle, tortoise, and terrapin, depending on the variety of English being used; usage is inconsistent and contradictory.[1] These terms are common names and do not reflect precise biological or taxonomic distinctions.[2] The American Society of Ichthyologists and Herpetologists uses ""turtle"" to describe all species of the order Testudines, regardless of whether they are land-dwelling or sea-dwelling, and uses ""tortoise"" as a more specific term for slow-moving terrestrial species.[1] General American usage agrees; turtle is often a general term (although some restrict it to aquatic turtles); tortoise is used only in reference to terrestrial turtles or, more narrowly, only those members of Testudinidae, the family of modern land tortoises; and terrapin may refer to turtles that are small and live in fresh and brackish water, in particular the diamondback terrapin (Malaclemys terrapin).[3][4][5][6] In America, for example, the members of the genus Terrapene dwell on land, yet are referred to as box turtles rather than tortoises.[2] British usage, by contrast, tends not to use ""turtle"" as a generic term for all members of the order, and also applies the term ""tortoises"" broadly to all land-dwelling members of the order Testudines, regardless of whether they are actually members of the family Testudinidae.[6] In Britain, terrapin is used to refer to a larger group of semiaquatic turtles than the restricted meaning in America.[4][7]",animal
47,swordfish,"Swordfish (Xiphias gladius), also known as broadbills in some countries, are large, highly migratory, predatory fish characterized by a long, flat, pointed bill. They are a popular sport fish of the billfish category, though elusive. Swordfish are elongated, round-bodied, and lose all teeth and scales by adulthood. These fish are found widely in tropical and temperate parts of the Atlantic, Pacific, and Indian Oceans, and can typically be found from near the surface to a depth of 550 m (1,800 ft), and exceptionally up to depths of 2,234 m.[2] They commonly reach 3 m (9.8 ft) in length, and the maximum reported is 4.55 m (14.9 ft) in length and 650 kg (1,430 lb) in weight.[3][4] They are the sole member of their family, Xiphiidae.[5] The swordfish is named after its pointed, flat bill, which resembles a sword. The species name, Xiphias gladius, derives from Greek ξιφίας (xiphias, ""swordfish""), itself from ξίφος (xiphos, ""sword"") and from Latin gladius (""sword"").[4] This makes it superficially similar to other billfish such as marlin, but upon examination, their physiology is quite different and they are members of different families.[6] Several extinct genera are known, such as a large sized Xiphiorhynchus and Aglyptorhynchus[7]. Unlike modern taxa these have equally long lower jaws. They commonly reach 3 m (9.8 ft) in length, and the maximum reported is 4.55 m (14.9 ft) in length and 650 kg (1,430 lb) in weight.[3][4] The International Game Fish Association's all-tackle angling record for a swordfish was a 536 kg (1,182 lb) specimen taken off Chile in 1953.[2] Females are larger than males, and Pacific swordfish reach a greater size than northwest Atlantic and Mediterranean swordfish.[4] They reach maturity at 4–5 years of age and the maximum age is believed to be at least 9 years.[4] The oldest swordfish found in a recent study were a 16-year-old female and 12-year-old male. Swordfish ages are derived, with difficulty, from annual rings on fin rays rather than otoliths, since their otoliths are small in size.[8]",animal
48,hyena,"Hyenas or hyaenas (from Ancient Greek ὕαινα, hýaina[1]) are feliform carnivoran mammals of the family Hyaenidae /haɪˈɛnɪdiː/. With only four extant species (in three genera), it is the fifth-smallest biological family in the Carnivora, and one of the smallest in the class Mammalia.[2] Despite their low diversity, hyenas are unique and vital components of most African ecosystems.[3] Although phylogenetically closer to felines and viverrids, as part of suborder Feliformia, hyenas are behaviourally and morphologically similar to canines in several elements of convergent evolution; both hyenas and canines are non-arboreal, cursorial hunters that catch prey with their teeth rather than claws. Both eat food quickly and may store it, and their calloused feet with large, blunt, nonretractable claws are adapted for running and making sharp turns. However, hyenas' grooming, scent marking, defecation habits, mating and parental behaviour are consistent with the behaviour of other feliforms.[4] Spotted hyenas may kill as many as 95% of the animals they eat,[5] while striped hyenas are largely scavengers.[6] Generally, hyenas are known to drive off larger predators, like lions, from their kills, despite having a reputation in popular culture for being cowardly.[6] Hyenas are primarily nocturnal animals, but sometimes venture from their lairs in the early-morning hours. With the exception of the highly social spotted hyena, hyenas are generally not gregarious animals, though they may live in family groups and congregate at kills.[7] Hyenas first arose in Eurasia during the Miocene period from viverrid-like ancestors, and diversified into two distinct types: lightly built dog-like hyenas and robust bone-crushing hyenas. Although the dog-like hyenas thrived 15 million years ago (with one taxon having colonised North America), they became extinct after a change in climate along with the arrival of canids into Eurasia. Of the dog-like hyena lineage, only the insectivorous aardwolf survived, while the bone-crushing hyenas (including the extant spotted, brown and striped hyenas) became the undisputed top scavengers of Eurasia and Africa.[8] Hyenas feature prominently in the folklore and mythology of human cultures that live alongside them. Hyenas are commonly viewed as frightening and worthy of contempt. In some cultures, hyenas are thought to influence people's spirits, rob graves, and steal livestock and children.[9] Other cultures associate them with witchcraft, using their body parts in traditional African medicine.[10]",animal
49,wildebeest,"Connochaetes gnou – black wildebeest
Connochaetes taurinus – blue wildebeest The wildebeest (/ˈwɪldɪbiːst/ WIL-dih-beest,[1][2][3] /ˈvɪl-/ VIL-,[3] plural wildebeest or wildebeests), also called the gnu (/njuː/ NEW or /nuː/ NOO),[4][5][6][4][6] is an antelope in the genus Connochaetes. It belongs to the family Bovidae, which includes antelopes, cattle, goats, sheep, and other even-toed horned ungulates. Connochaetes includes two species, both native to Africa: the black wildebeest or white-tailed gnu (C. gnou), and the blue wildebeest or brindled gnu (C. taurinus). Fossil records suggest these two species diverged about one million years ago, resulting in a northern and a southern species. The blue wildebeest remained in its original range and changed very little from the ancestral species, while the black wildebeest changed more as adaptation to its open grassland habitat in the south. The most obvious way of telling the two species apart are the differences in their colouring and in the way their horns are oriented.[7] In East Africa, the blue wildebeest is the most abundant big-game species; some populations perform an annual migration to new grazing grounds, but the black wildebeest is merely nomadic. Breeding in both takes place over a short period of time at the end of the rainy season and the calves are soon active and are able to move with the herd, a fact necessary for their survival. Nevertheless, some fall prey to large carnivores, especially the spotted hyena. Wildebeest often graze in mixed herds with zebra, which gives heightened awareness of potential predators. They are also alert to the warning signals emitted by other animals such as baboons. Wildebeest are a tourist attraction but compete with domesticated livestock for pasture and are sometimes blamed by farmers for transferring diseases and parasites to their cattle. Some illegal hunting goes on but the population trend is fairly stable and some populations are in national parks or on private land. The International Union for Conservation of Nature lists both as least-concern species.",animal
50,hippo," The hippopotamus (/ˌhɪpəˈpɒtəməs/ HIP-ə-POT-ə-məs;[3] Hippopotamus amphibius), also called the hippo, common hippopotamus or river hippopotamus, is a large, mostly herbivorous, semiaquatic mammal and ungulate native to sub-Saharan Africa. It is one of only two extant species in the family Hippopotamidae, the other being the pygmy hippopotamus (Choeropsis liberiensis or Hexaprotodon liberiensis). The name comes from the ancient Greek for ""river horse"" (ἱπποπόταμος). After the elephant and rhinoceros, both of which are found in Africa, the hippopotamus is the third-largest type of land mammal and the heaviest extant artiodactyl. Despite their physical resemblance to pigs and other terrestrial even-toed ungulates, the closest living relatives of the Hippopotamidae are cetaceans (whales, dolphins, porpoises, etc.) from which they diverged about 55 million years ago. Hippos are recognisable by their barrel-shaped torsos, wide-opening mouths revealing large canine tusks, nearly hairless bodies, columnar legs and large size; adults average 1,500 kg (3,310 lb) for males and 1,300 kg (2,870 lb) for females. Despite its stocky shape and short legs, it is capable of running 30 km/h (19 mph) over short distances. Hippos inhabit rivers, lakes, and mangrove swamps, where territorial males preside over a stretch of river and groups of five to thirty females and young hippos. During the day, they remain cool by staying in the water or mud; reproduction and childbirth both occur in water. They emerge at dusk to graze on grasses. While hippos rest near each other in the water, grazing is a solitary activity and hippos are not territorial on land. The hippo is among the most dangerous animals in the world due to its highly aggressive and unpredictable nature. They are threatened by habitat loss and poaching for their meat and ivory canine teeth. The Latin word ""hippopotamus"" is derived from the ancient Greek ἱπποπόταμος, hippopótamos, from ἵππος, híppos, ""horse"", and ποταμός, potamós, ""river"", meaning ""horse of the river"".[4][5][6] In English, the plural is ""hippopotamuses"", but ""hippopotami"" is also used;[7] ""hippos"" can be used as a short plural. Hippos are gregarious, living in groups of up to thirty animals. A group is called a pod, herd, dale, or bloat.",animal
51,alligator,"An alligator is a crocodilian in the genus Alligator of the family Alligatoridae. The two living species are the American alligator (A. mississippiensis) and the Chinese alligator (A. sinensis). Additionally, several extinct species of alligator are known from fossil remains. Alligators first appeared during the Oligocene epoch about 37 million years ago.[1] The name ""alligator"" is probably an anglicized form of el lagarto, the Spanish term for ""the lizard"", which early Spanish explorers and settlers in Florida called the alligator.[2] Later English spellings of the name included allagarta and alagarto.[3] An average adult American alligator's weight and length is 360 kg (790 lb) and 4 m (13 ft), but they sometimes grow to 4.4 m (14 ft) long and weigh over 450 kg (990 lb).[4] The largest ever recorded, found in Louisiana, measured 5.84 m (19.2 ft).[5] The Chinese alligator is smaller, rarely exceeding 2.1 m (7 ft) in length. Additionally, it weighs considerably less, with males rarely over 45 kg (100 lb). Adult alligators are black or dark olive-brown with white undersides, while juveniles have strongly contrasting white or yellow marks which fade with age.[6] No average lifespan for an alligator has been measured.[7] One of the oldest recorded alligator lives was that of Saturn, an American alligator who was born in 1936 in Mississippi and spent nearly a decade in Germany before spending the majority of its life at the Moscow Zoo, where it died at the age of 83 or 84 on 22 May 2020.[8][9] Another one of the oldest lives on record is that of Muja, an American alligator who was brought as adult specimen to the Belgrade Zoo in Serbia from Germany in 1937. Although no valid records exist about its date of birth, it is now in its 80s and possibly the oldest alligator living in captivity in the world.[10][11]",animal
52,crocodile,"Crocodiles (subfamily Crocodylinae) or true crocodiles are large semiaquatic reptiles that live throughout the tropics in Africa, Asia, the Americas and Australia. Crocodylinae, all of whose members are considered true crocodiles, is classified as a biological subfamily. A broader sense of the term crocodile, Crocodylidae that includes Tomistoma, is not used in this article. The term crocodile here applies to only the species within the subfamily of Crocodylinae. The term is sometimes used even more loosely to include all extant members of the order Crocodilia, which includes the alligators and caimans (family Alligatoridae), the gharial and false gharial (family Gavialidae), and all other living and fossil Crocodylomorpha. Although they appear similar, crocodiles, alligators and the gharial belong to separate biological families. The gharial, with its narrow snout, is easier to distinguish, while morphological differences are more difficult to spot in crocodiles and alligators. The most obvious external differences are visible in the head, with crocodiles having narrower and longer heads, with a more V-shaped than a U-shaped snout compared to alligators and caimans. Another obvious trait is that the upper and lower jaws of the crocodiles are the same width, and the teeth in the lower jaw fall along the edge or outside the upper jaw when the mouth is closed; therefore, all teeth are visible, unlike an alligator, which possesses in the upper jaw small depressions into which the lower teeth fit. Also, when the crocodile's mouth is closed, the large fourth tooth in the lower jaw fits into a constriction in the upper jaw. For hard-to-distinguish specimens, the protruding tooth is the most reliable feature to define the species' family.[1] Crocodiles have more webbing on the toes of the hind feet and can better tolerate saltwater due to specialized salt glands for filtering out salt, which are present, but non-functioning, in alligators. Another trait that separates crocodiles from other crocodilians is their much higher levels of aggression.[2] Crocodile size, morphology, behaviour and ecology differ somewhat among species. However, they have many similarities in these areas as well. All crocodiles are semiaquatic and tend to congregate in freshwater habitats such as rivers, lakes, wetlands and sometimes in brackish water and saltwater. They are carnivorous animals, feeding mostly on vertebrates such as fish, reptiles, birds and mammals, and sometimes on invertebrates such as molluscs and crustaceans, depending on species and age. All crocodiles are tropical species that, unlike alligators, are very sensitive to cold. They separated from other crocodilians during the Eocene epoch, about 55 million years ago.[3] Many species are at the risk of extinction, some being classified as critically endangered. The word ""crocodile"" comes from the Ancient Greek κροκόδιλος (crocodilos), ""lizard"", used in the phrase ho krokódilos tou potamoú, ""the lizard of the (Nile) river"". There are several variant Greek forms of the word attested, including the later form κροκόδειλος (crocodeilos)[4] found cited in many English reference works.[5] In the Koine Greek of Roman times, crocodilos and crocodeilos would have been pronounced identically, and either or both may be the source of the Latinized form crocodīlus used by the ancient Romans. It has been suggested, but it is not certain that the word crocodilos or crocodeilos is a compound of krokè (""pebbles""), and drilos/dreilos (""worm""), although drilos is only attested as a colloquial term for ""penis"".[5] It is ascribed to Herodotus, and supposedly describes the basking habits of the Egyptian crocodile.[6] The form crocodrillus is attested in Medieval Latin.[5] It is not clear whether this is a medieval corruption or derives from alternative Greco-Latin forms (late Greek corcodrillos and corcodrillion are attested). A (further) corrupted form cocodrille is found in Old French and was borrowed into Middle English as cocodril(le). The Modern English form crocodile was adapted directly from the Classical Latin crocodīlus in the 16th century, replacing the earlier form. The use of -y- in the scientific name Crocodylus (and forms derived from it) is a corruption introduced by Laurenti (1768).",animal
53,salmon," all other Oncorhynchus and Salmo species Salmon /ˈsæmən/ is the common name for several species of ray-finned fish in the family Salmonidae. Other fish in the same family include trout, char, grayling and whitefish. Salmon are native to tributaries of the North Atlantic (genus Salmo) and Pacific Ocean (genus Oncorhynchus). Many species of salmon have been introduced into non-native environments such as the Great Lakes of North America and Patagonia in South America. Salmon are intensively farmed in many parts of the world.[1] Typically, salmon are anadromous: they hatch in fresh water, migrate to the ocean, then return to fresh water to reproduce. However, populations of several species are restricted to fresh water through their lives. Folklore has it that the fish return to the exact spot where they hatched to spawn. Tracking studies have shown this to be mostly true. A portion of a returning salmon run may stray and spawn in different freshwater systems; the percent of straying depends on the species of salmon.[2] Homing behavior has been shown to depend on olfactory memory.[3][4] Salmon date back to the Neogene.[citation needed] The term ""salmon"" comes from the Latin salmo, which in turn might have originated from salire, meaning ""to leap"".[5] The nine commercially important species of salmon occur in two genera. The genus Salmo contains the Atlantic salmon, found in the north Atlantic, as well as many species commonly named trout. The genus Oncorhynchus contains eight species which occur naturally only in the North Pacific. As a group, these are known as Pacific salmon. Chinook salmon have been introduced in New Zealand and Patagonia. Coho, freshwater sockeye, and Atlantic salmon have been established in Patagonia, as well.[6]",animal
54,trout,"Trout is the common name for a number of species of freshwater fish belonging to the genera Oncorhynchus, Salmo and Salvelinus, all of the subfamily Salmoninae of the family Salmonidae. The word trout is also used as part of the name of some non-salmonid fish such as Cynoscion nebulosus, the spotted seatrout or speckled trout. Trout are closely related to salmon and char (or charr): species termed salmon and char occur in the same genera as do fish called trout (Oncorhynchus – Pacific salmon and trout, Salmo – Atlantic salmon and various trout, Salvelinus – char and trout). Lake trout and most other trout live in freshwater lakes and rivers exclusively, while there are others, such as the steelhead, a form of the coastal rainbow trout, that can spend two or three years at sea before returning to fresh water to spawn (a habit more typical of salmon). Arctic char and brook trout are part of the char family. Trout are an important food source for humans and wildlife, including brown bears, birds of prey such as eagles, and other animals. They are classified as oily fish.[1] The name ""trout"" is commonly used for some species in three of the seven genera in the subfamily Salmoninae: Salmo, Atlantic species; Oncorhynchus, Pacific species; and Salvelinus, which includes fish also sometimes called char or charr. Fish referred to as trout include: Trout that live in different environments can have dramatically different colorations and patterns. Mostly, these colors and patterns form as camouflage, based on the surroundings, and will change as the fish moves to different habitats. Trout in, or newly returned from the sea, can look very silvery, while the same fish living in a small stream or in an alpine lake could have pronounced markings and more vivid coloration; it is also possible that in some species, this signifies that they are ready to mate. In general, trout that are about to breed have extremely intense coloration and can look like an entirely different fish outside of spawning season. It is virtually impossible to define a particular color pattern as belonging to a specific breed; however, in general, wild fish are claimed to have more vivid colors and patterns.",animal
55,ostrich,"†Struthio coppensi
†Struthio linxiaensis
†Struthio orlovi
†Struthio wimani
†Struthio brachydactylus
†Struthio asiaticus Asian ostrich
†Struthio dmanisensis
†Struthio oldawayi
Struthio molybdophanes Somali ostrich
Struthio camelus Common ostrich Palaeostruthio Burchak-Abramovich 1953
Struthiolithus Brandt 1873
Megaloscelornis Lydekker 1879
Autruchon Temminick 1840 fide Gray 1841 (nomen nudum) Struthio is a genus of bird in the order Struthioniformes, whose members are the ostriches. There are two living species, the common ostrich and the Somali ostrich. The genus Struthio was first described by Carl Linnaeus in 1758. The genus was used by Linnaeus and other early taxonomists to include the emu, rhea and cassowary, until they each were placed in their own genera.[1] The Somali ostrich (Struthio molybdophanes) has recently become recognized as a separate species by most authorities, while others are still reviewing the evidence.[2][3] The earliest fossils of ostrich-like birds are Paleocene taxa from Europe.[4] Palaeotis and Remiornis from the Middle Eocene and unspecified ratite remains are known from the Eocene and Oligocene of Europe and Africa. These may have been early relatives of the ostriches, but their status is questionable, and they may in fact represent multiple lineages of flightless paleognaths.[4][5]",animal
56,camel," Camelus bactrianus
Camelus dromedarius
Camelus ferus
†Camelus gigas (fossil)[2]
†Camelus grattardi (fossil)[3]
†Camelus knoblochi (fossil)[4]
†Camelus moreli (fossil)
†Camelus sivalensis (fossil)[5]
†Camelus thomasi (fossil)[6] A camel is an even-toed ungulate in the genus Camelus that bears distinctive fatty deposits known as ""humps"" on its back. Camels have long been domesticated and, as livestock, they provide food (milk and meat) and textiles (fiber and felt from hair). Camels are working animals especially suited to their desert habitat and are a vital means of transport for passengers and cargo. There are three surviving species of camel. The one-humped dromedary makes up 94% of the world's camel population, and the two-humped Bactrian camel makes up 6%. The Wild Bactrian camel is a separate species and is now critically endangered. The word camel is also used informally in a wider sense, where the more correct term is ""camelid"", to include all seven species of the family Camelidae: the true camels (the above three species), along with the ""New World"" camelids: the llama, the alpaca, the guanaco, and the vicuña.[7] The word itself is derived via Latin: camelus and Greek: κάμηλος (kamēlos) from Hebrew, Arabic or Phoenician: gāmāl.[8][9] 3 species are extant:[10][11]",animal
57,blue,"Blue is one of the three primary colours of pigments in painting and traditional colour theory, as well as in the RGB colour model. It lies between violet and green on the spectrum of visible light. The eye perceives blue when observing light with a dominant wavelength between approximately 450 and 495 nanometres. Most blues contain a slight mixture of other colours; azure contains some green, while ultramarine contains some violet. The clear daytime sky and the deep sea appear blue because of an optical effect known as Rayleigh scattering. An optical effect called Tyndall scattering explains blue eyes. Distant objects appear more blue because of another optical effect called aerial perspective. Blue has been an important colour in art and decoration since ancient times. The semi-precious stone lapis lazuli was used in ancient Egypt for jewellery and ornament and later, in the Renaissance, to make the pigment ultramarine, the most expensive of all pigments. In the eighth century Chinese artists used cobalt blue to colour fine blue and white porcelain. In the Middle Ages, European artists used it in the windows of cathedrals. Europeans wore clothing coloured with the vegetable dye woad until it was replaced by the finer indigo from America. In the 19th century, synthetic blue dyes and pigments gradually replaced mineral pigments and synthetic dyes. Dark blue became a common colour for military uniforms and later, in the late 20th century, for business suits. Because blue has commonly been associated with harmony, it was chosen as the colour of the flags of the United Nations and the European Union.[2] Surveys in the US and Europe show that blue is the colour most commonly associated with harmony, faithfulness, confidence, distance, infinity, the imagination, cold, and sometimes with sadness.[3] In US and European public opinion polls it is the most popular colour, chosen by almost half of both men and women as their favourite colour.[4] The same surveys also showed that blue was the colour most associated with the masculine, just ahead of black, and was also the colour most associated with intelligence, knowledge, calm and concentration.[3] Blue is the colour of light between violet and green on the visible spectrum. Hues of blue include indigo and ultramarine, closer to violet; pure blue, without any mixture of other colours; Cyan, which is midway in the spectrum between blue and green, and the other blue-greens turquoise, teal, and aquamarine. Blue also varies in shade or tint; darker shades of blue contain black or grey, while lighter tints contain white. Darker shades of blue include ultramarine, cobalt blue, navy blue, and Prussian blue; while lighter tints include sky blue, azure, and Egyptian blue. (For a more complete list see the List of colours).",color
