,Name,About,Category
10,rabbit,rabbits small mammals family leporidae order lagomorpha along hare pika oryctolagus cuniculus includes european rabbit species descendants world breeds domestic rabbit sylvilagus includes wild rabbit species among seven types cottontail european rabbit introduced every continent except antarctica familiar throughout world wild prey animal domesticated form livestock pet widespread effect ecologies cultures rabbit bunny many areas world part daily life food clothing companion source artistic inspiration although considered rodents lagomorphs like rabbits discovered diverged separately earlier rodent cousins number traits rodents lack like two extra incisors male rabbits called bucks females called older term adult rabbit coney derived ultimately latin cuniculus rabbit referred young animals another term young rabbit bunny though term often applied informally particularly children rabbits generally especially domestic ones recently term kit kitten used refer young rabbit group rabbits known colony nest occasionally warren though commonly refers rabbits live group baby rabbits produced single mating referred litter group domestic rabbits living together sometimes called herd rabbits hares formerly classified order rodentia rodent moved new order lagomorpha also includes pikas genera species rabbit,animal
11,deer,deer hoofed ruminant mammals forming family cervidae two main groups deer cervinae including muntjac elk wapiti red deer fallow deer chital capreolinae including reindeer caribou roe deer mule deer moose female reindeer male deer species except chinese water deer grow shed new antlers year differ permanently horned antelope part different family bovidae within order even toed ungulates artiodactyla musk deer moschidae asia chevrotains tragulidae tropical african asian forests separate families within ruminant clade ruminantia especially closely related deer among ruminantia deer appear art paleolithic cave paintings onwards played role mythology religion literature throughout history well heraldry red deer occur coat arms land economic importance includes use meat venison skins soft strong buckskin antlers handles knives deer hunting popular activity since least middle ages remains resource many families today,animal
12,bear,amphicynodontinae hemicyoninae ursavinae agriotheriinae ailuropodinae tremarctinae ursinae bears carnivoran mammals family ursidae classified caniforms doglike carnivorans although eight species bears extant widespread appearing wide variety habitats throughout northern hemisphere partially southern hemisphere bears found continents north america south america europe asia common characteristics modern bears include large bodies stocky legs long snouts small rounded ears shaggy hair plantigrade paws five nonretractile claws short tails polar bear mostly carnivorous giant panda feeds almost entirely bamboo remaining six species omnivorous varied diets exception courting individuals mothers young bears typically solitary animals may diurnal nocturnal excellent sense smell despite heavy build awkward gait adept runners climbers swimmers bears use shelters caves logs dens species occupy dens winter long period hibernation days bears hunted since prehistoric times meat fur used bear baiting forms entertainment made dance powerful physical presence play prominent role arts mythology cultural aspects various human societies modern times bears come pressure encroachment habitats illegal trade bear parts including asian bile bear market iucn lists six bear species vulnerable endangered even least concern species brown bear risk extirpation certain countries poaching international trade threatened populations prohibited still ongoing,animal
13,elephant,elephants mammals family elephantidae largest existing land animals three species currently recognised african bush elephant african forest elephant asian elephant elephantidae surviving family order proboscidea extinct members include mastodons family elephantidae also contains several extinct groups including mammoths straight tusked elephants african elephants larger ears concave backs whereas asian elephants smaller ears convex level backs distinctive features elephants include long trunk tusks large ear flaps massive legs tough sensitive skin trunk also called proboscis used breathing bringing food water mouth grasping objects tusks derived incisor teeth serve weapons tools moving objects digging large ear flaps assist maintaining constant body temperature well communication pillar like legs carry great weight elephants scattered throughout sub saharan africa south asia southeast asia found different habitats including savannahs forests deserts marshes herbivorous stay near water accessible considered keystone species due impact environments animals tend keep distance elephants exception predators lions tigers hyenas wild dogs usually target young elephants calves elephants fission fusion society multiple family groups come together socialise females cows tend live family groups consist one female calves several related females offspring groups include bulls led usually oldest cow known matriarch males bulls leave family groups reach puberty may live alone males adult bulls mostly interact family groups looking mate enter state increased testosterone aggression known musth helps gain dominance males well reproductive success calves centre attention family groups rely mothers long three years elephants live years wild communicate touch sight smell sound elephants use infrasound seismic communication long distances elephant intelligence compared primates cetaceans appear self awareness appear show empathy dying dead family members african elephants listed vulnerable asian elephants endangered international union conservation nature iucn one biggest threats elephant populations ivory trade animals poached ivory tusks threats wild elephants include habitat destruction conflicts local people elephants used working animals asia past used war today often controversially put display zoos exploited entertainment circuses elephants highly recognisable featured art folklore religion literature popular culture word elephant based latin elephas genitive elephantis elephant latinised form greek elephas genitive elephantos probably non indo european language likely phoenician attested mycenaean greek e pa genitive e pa linear b syllabic script mycenaean greek homer used greek word mean ivory time herodotus also referred animal word elephant appears middle english olyfaunt c borrowed old french oliphant th century,animal
14,walrus,rosmarus rosmarus rosmarus divergens rosmarus laptevi debated walrus odobenus rosmarus large flippered marine mammal discontinuous distribution north pole arctic ocean subarctic seas northern hemisphere walrus living species family odobenidae genus odobenus species subdivided two subspecies atlantic walrus r rosmarus lives atlantic ocean pacific walrus r divergens lives pacific ocean adult walrus characterised prominent tusks whiskers considerable bulk adult males pacific weigh kilograms pounds among pinnipeds exceeded size two species elephant seals walruses live mostly shallow waters continental shelves spending significant amounts lives sea ice looking benthic bivalve mollusks eat walruses relatively long lived social animals considered keystone species arctic marine regions walrus played prominent role cultures many indigenous arctic peoples hunted walrus meat fat skin tusks bone th century early th century walruses widely hunted killed blubber walrus ivory meat population walruses dropped rapidly around arctic region population rebounded somewhat since though populations atlantic laptev walruses remain fragmented low levels compared time human interference,animal
15,parrot,cacatuoidea cockatoos psittacoidea true parrots strigopoidea new zealand parrots parrots also known psittacines sa nz birds roughly species genera comprising order psittaciformes found mostly tropical subtropical regions order subdivided three superfamilies psittacoidea true parrots cacatuoidea cockatoos strigopoidea new zealand parrots one third parrot species threatened extinction higher aggregate extinction risk iucn red list index comparable bird group parrots generally pantropical distribution several species inhabiting temperate regions southern hemisphere well greatest diversity parrots south america australasia characteristic features parrots include strong curved bill upright stance strong legs clawed zygodactyl feet many parrots vividly coloured multi coloured parrots exhibit little sexual dimorphism visual spectrum form variably sized bird order terms length important components parrots diets seeds nuts fruit buds plant material species sometimes eat animals carrion lories lorikeets specialised feeding floral nectar soft fruits almost parrots nest tree hollows nest boxes captivity lay white eggs hatch altricial helpless young parrots along ravens crows jays magpies among intelligent birds ability species imitate human speech enhances popularity pets trapping wild parrots pet trade well hunting habitat loss competition invasive species diminished wild populations parrots subjected exploitation group birds measures taken conserve habitats high profile charismatic species also protected many less charismatic species living ecosystems psittaciform diversity south america australasia suggests order may evolved gondwana centred australasia scarcity parrots fossil record however presents difficulties confirming hypothesis currently higher amount fossil remains northern hemisphere early cenozoic molecular studies suggest parrots evolved approximately million years ago mya range mya gondwana three major clades neotropical parrots originated mya range mya,animal
16,corvidae,corvidae cosmopolitan family oscine passerine birds contains crows ravens rooks jackdaws jays magpies treepies choughs nutcrackers common english known crow family technically corvids species described genus corvus including jackdaws crows rooks ravens makes third entire family corvids largest passerines corvids display remarkable intelligence animals size among intelligent birds thus far studied specifically members family demonstrated self awareness mirror tests european magpies tool making ability e g crows rooks skills recently thought possessed humans higher mammals total brain body mass ratio equal non human great apes cetaceans slightly lower humans medium large size strong feet bills rictal bristles single moult year passerines moult twice corvids found worldwide except tip south america polar ice caps majority species found tropical south central america southern asia fewer species africa australasia genus corvus entered australia relatively recent geological prehistory five species one subspecies several species raven reached oceanic islands species highly threatened extinction already become extinct name corvidae family introduced english zoologist william elford leach guide contents british museum published years much disagreement arisen exact evolutionary relationships corvid family relatives eventually seemed clear corvids derived australasian ancestors spread throughout world lineages derived ancestors evolved ecologically diverse often australasian groups late throughout sibley ahlquist united corvids taxa corvida based dna dna hybridization presumed corvid relatives included currawongs birds paradise whipbirds quail thrushes whistlers monarch flycatchers drongos shrikes vireos vangas current research favors theory grouping partly artificial corvids constitute core group corvoidea together closest relatives birds paradise australian mud nesters shrikes also core group corvida includes related groups old world orioles vireos clarification interrelationships corvids achieved based cladistic analysis several dna sequences jays magpies constitute monophyletic lineages rather seem split american old world lineage holarctic oriental lineage respectively closely related among position azure winged magpie always major enigma even less clear clarification needed,animal
17,crab,crabs decapod crustaceans infraorder brachyura typically short projecting tail abdomen greek romanized brachys short ura tail usually hidden entirely thorax live world oceans fresh water land generally covered thick exoskeleton single pair pincers many animals similar names hermit crabs king crabs porcelain crabs horseshoe crabs crab lice true crabs crabs generally covered thick exoskeleton composed primarily highly mineralized chitin armed single pair chelae claws crabs found world oceans many crabs live fresh water land particularly tropical regions crabs vary size pea crab millimeters wide japanese spider crab leg span ft species saltwater crabs brackish water crabs freshwater crabs terrestrial crabs semiterrestrial crabs found throughout world tropical semitropical regions previously thought monophyletic group believed represent least two distinct lineages one old world one new world earliest unambiguous crab fossils date jurassic although carboniferous imocaris known carapace may primitive crab radiation crabs cretaceous afterward may linked either break gondwana concurrent radiation bony fish crabs main predators,animal
18,raven,raven one several larger bodied species genus corvus species form single taxonomic group within genus consistent distinction crows ravens appellations assigned different species chiefly basis size crows generally smaller ravens largest raven species common raven thick billed raven term raven originally referred common raven corvus corax type species genus corvus larger distribution species corvus ranging much northern hemisphere modern english word raven cognates germanic languages including old norse subsequently modern icelandic hrafn old high german h raban descend proto germanic hrabanaz,animal
19,eagle,eagle common name many large birds prey familia accipitridae eagles belong several groups genera closely related species eagle eurasia africa outside area species found north america central south america australia eagles large powerfully built birds prey heavy heads beaks even smallest eagles booted eagle aquila pennata comparable size common buzzard buteo buteo red tailed hawk b jamaicensis relatively longer evenly broad wings direct faster flight despite reduced size aerodynamic feathers eagles larger raptors apart vultures smallest species eagle south nicobar serpent eagle spilornis klossi g lb cm largest species discussed like birds prey eagles large hooked beaks ripping flesh prey strong muscular legs powerful talons beak typically heavier birds prey eagles eyes extremely powerful estimated martial eagle whose eye twice long human eye visual acuity times humans acuity enables eagles spot potential prey long distance keen eyesight primarily attributed extremely large pupils ensure minimal diffraction scattering incoming light female known species eagles larger male eagles normally build nests called eyries tall trees high cliffs many species lay two eggs older larger chick frequently kills younger sibling hatched dominant chick tends female bigger male parents take action stop killing due size power many eagle species ranked top food chain apex predators avian world type prey varies genus haliaeetus ichthyophaga eagles prefer capture fish though species former often capture various animals especially water birds powerful kleptoparasites birds snake serpent eagles genera circaetus terathopius spilornis predominantly prey great diversity snakes found tropics africa asia eagles genus aquila often top birds prey open habitats taking almost medium sized vertebrate catch aquila eagles absent eagles buteonine black chested buzzard eagle south america may assume position top raptorial predator open areas many eagles including species rich genus spizaetus live predominantly woodlands forest eagles often target various arboreal ground dwelling mammals birds often unsuspectingly ambushed dense knotty environments hunting techniques differ among species genera individual eagles engaged quite varied techniques based environment prey given time eagles grab prey without landing take flight prey carried perch torn apart bald eagle noted flown heaviest load verified carried flying bird since one eagle flew kg lb mule deer fawn however eagles may target prey considerably heavier prey heavy fly thus either eaten site kill taken pieces back perch nest golden crowned eagles killed ungulates weighing kg lb martial eagle even killed kg lb duiker times heavier preying eagle authors birds david allen sibley pete dunne clay sutton described behavioral difference hunting eagles birds prey thus case bald golden eagles compared north american raptors,animal
20,monkey,monkey common name may refer groups species mammals part simians infraorder simiiformes term applied descriptively groups primates families new world monkeys old world monkeys many monkey species tree dwelling arboreal although species live primarily ground baboons species also active day diurnal monkeys generally considered intelligent especially old world monkeys catarrhini simians tarsiers emerged within haplorrhines million years ago new world monkeys catarrhine monkeys emerged within simians million years ago old world monkeys hominoidea emerged within catarrhine monkeys million years ago extinct basal simians aegyptopithecus parapithecus million years ago eosimiidea sometimes even catarrhini group also considered monkeys primatologists lemurs lorises galagos monkeys instead strepsirrhine primates like monkeys tarsiers haplorhine primates however also monkeys apes emerged within monkeys sister cercopithecidae catarrhini cladistically monkeys well resistance directly designate apes thus humans monkeys old world monkey may taken mean cercopithecoidea catarrhini apes monkeys already realized georges louis leclerc comte de buffon th century monkeys including apes distinguished primates two pectoral nipples pendulous penis lack sensory whiskers better source needed,animal
21,horse,least published horse equus ferus caballus one two extant subspecies equus ferus odd toed ungulate mammal belonging taxonomic family equidae horse evolved past million years small multi toed creature eohippus large single toed animal today humans began domesticating horses around bc domestication believed widespread bc horses subspecies caballus domesticated although domesticated populations live wild feral horses feral populations true wild horses term used describe horses never domesticated endangered przewalski horse separate subspecies remaining true wild horse extensive specialized vocabulary used describe equine related concepts covering everything anatomy life stages size colors markings breeds locomotion behavior horses adapted run allowing quickly escape predators possessing excellent sense balance strong fight flight response related need flee predators wild unusual trait horses able sleep standing lying younger horses tending sleep significantly adults female horses called mares carry young approximately months young horse called foal stand run shortly following birth domesticated horses begin training saddle harness ages two four reach full adult development age five average lifespan years horse breeds loosely divided three categories based general temperament spirited hot bloods speed endurance cold bloods draft horses ponies suitable slow heavy work warmbloods developed crosses hot bloods cold bloods often focusing creating breeds specific riding purposes particularly europe breeds horse world today developed many different uses,animal
22,zebra,e capensis e grevyi e koobiforensis e mauritanicus e oldowayensis e quagga e zebra zebras subgenus hippotigris african equines distinctive black white striped coats three extant species gr vy zebra equus grevyi plains zebra e quagga mountain zebra e zebra zebras share genus equus horses asses three groups living members family equidae zebra stripes come different patterns unique individual several theories proposed function stripes evidence supporting form protection biting flies zebras inhabit eastern southern africa found variety habitats savannahs grasslands woodlands shrublands mountainous areas zebras primarily grazers subsist lower quality vegetation preyed mainly lions typically flee threatened also bite kick zebra species differ social behaviour plains mountain zebra living stable harems consisting adult male stallion several adult females mares young foals gr vy zebra live alone loosely associated herds harem holding species adult females mate harem stallion male gr vy zebras establish territories attract females species promiscuous zebras communicate various vocalisations body postures facial expressions social grooming strengthens social bonds plains mountain zebras zebra dazzling stripes make among recognisable mammals featured art stories africa beyond historically highly sought exotic animal collectors unlike horses donkeys zebras never truly domesticated international union conservation nature iucn lists gr vy zebra endangered mountain zebra vulnerable plains zebra near threatened quagga type plains zebra driven extinction th century nevertheless zebras found numerous protected areas,animal
23,dolphin,dolphin common name aquatic mammals within infraorder cetacea term dolphin usually refers extant families delphinidae oceanic dolphins platanistidae indian river dolphins iniidae new world river dolphins pontoporiidae brackish dolphins extinct lipotidae baiji chinese river dolphin extant species named dolphins dolphins range size metre long ft long kilogram pound maui dolphin ft metric ton short ton killer whale several species exhibit sexual dimorphism males larger females streamlined bodies two limbs modified flippers though quite flexible seals dolphins travel speeds km h mph short distances dolphins use conical shaped teeth capture fast moving prey well developed hearing adapted air water well developed survive even blind species well adapted diving great depths layer fat blubber skin keep warm cold water although dolphins widespread species prefer warmer waters tropic zones like right whale dolphin prefer colder climates dolphins feed largely fish squid like killer whale feed large mammals like seals male dolphins typically mate multiple females every year females mate every two three years calves typically born spring summer months females bear responsibility raising mothers species fast nurse young relatively long period time dolphins produce variety vocalizations usually form clicks whistles dolphins sometimes hunted places japan activity known dolphin drive hunting besides drive hunting also face threats bycatch habitat loss marine pollution dolphins depicted various cultures worldwide dolphins occasionally feature literature film film series free willy dolphins sometimes kept captivity trained perform tricks common dolphin species captivity bottlenose dolphin around captive killer whales,animal
24,lemur,lemurs li r listen lee r latin lemures ghosts spirits mammals order primates divided families consisting genera around existing species native island madagascar existing lemurs small pointed snout large eyes long tail chiefly live trees arboreal active night nocturnal lemurs share resemblance primates evolved independently monkeys apes due madagascar highly seasonal climate lemur evolution produced level species diversity rivaling primate group shortly humans arrived island around years ago lemurs large male gorilla species discovered promoted full species status since however lemur taxonomic classification controversial depends species concept used lemurs range weight gram oz mouse lemur kilogram lb indri lemurs share many common basal primate traits divergent digits hands feet nails instead claws species however brain body size ratio smaller anthropoid primates strepsirrhine primates wet nose rhinarium lemurs generally social strepsirrhine primates communicate scents vocalizations visual signals lemurs relatively low basal metabolic rate result may exhibit dormancy hibernation torpor also seasonal breeding female social dominance eat wide variety fruits leaves specialists two species lemurs may coexist forest due different diets lemur research th th centuries focused taxonomy specimen collection modern studies lemur ecology behavior begin earnest initially hindered political issues madagascar mid field studies resumed lemurs important research mix ancestral characteristics traits shared anthropoid primates yield insights primate human evolution many lemur species threatened extinction due habitat loss hunting many lemur species already gone extinct last years due human activity collectively referred subfossil lemurs although local traditions generally help protect lemurs forests illegal logging widespread poverty political instability hinder undermine conservation efforts threats declining numbers international union conservation nature iucn considers lemurs world endangered mammals noting lemur species face extinction within next years name lemur derived latin lemures refers specters ghosts exorcised lemuria festival ancient rome,animal
